D:\Anaconda\python.exe D:/home/zeewei/projects/77GRadar/model/cnn/cnn_train.py
0840 	 train_loss:0.018254028633236885 	 test_loss: 0.020585546270012856 	 test_min_loss: 0.020585546270012856 	 difference: 0.0023315176367759705 	 comp_acc:0 	 relative_acc:0
0850 	 train_loss:0.018218906596302986 	 test_loss: 0.02055436745285988 	 test_min_loss: 0.02055436745285988 	 difference: 0.0023354608565568924 	 comp_acc:0 	 relative_acc:0
0860 	 train_loss:0.018183808773756027 	 test_loss: 0.020525485277175903 	 test_min_loss: 0.020525485277175903 	 difference: 0.002341676503419876 	 comp_acc:0 	 relative_acc:0
0870 	 train_loss:0.01814880222082138 	 test_loss: 0.020496150478720665 	 test_min_loss: 0.020496150478720665 	 difference: 0.0023473482578992844 	 comp_acc:0 	 relative_acc:0
0880 	 train_loss:0.01811414211988449 	 test_loss: 0.020467832684516907 	 test_min_loss: 0.020467832684516907 	 difference: 0.0023536905646324158 	 comp_acc:0 	 relative_acc:0
0890 	 train_loss:0.01807985082268715 	 test_loss: 0.020438820123672485 	 test_min_loss: 0.020438820123672485 	 difference: 0.0023589693009853363 	 comp_acc:0 	 relative_acc:0
0900 	 train_loss:0.01804508827626705 	 test_loss: 0.02041054703295231 	 test_min_loss: 0.02041054703295231 	 difference: 0.002365458756685257 	 comp_acc:0 	 relative_acc:0
0910 	 train_loss:0.01801091432571411 	 test_loss: 0.02038152515888214 	 test_min_loss: 0.02038152515888214 	 difference: 0.00237061083316803 	 comp_acc:0 	 relative_acc:0
0920 	 train_loss:0.01797640696167946 	 test_loss: 0.020352836698293686 	 test_min_loss: 0.020352836698293686 	 difference: 0.0023764297366142273 	 comp_acc:0 	 relative_acc:0
0930 	 train_loss:0.017943207174539566 	 test_loss: 0.020326297730207443 	 test_min_loss: 0.020326297730207443 	 difference: 0.002383090555667877 	 comp_acc:0 	 relative_acc:0
0940 	 train_loss:0.01790851727128029 	 test_loss: 0.020296897739171982 	 test_min_loss: 0.020296897739171982 	 difference: 0.002388380467891693 	 comp_acc:0 	 relative_acc:0
0950 	 train_loss:0.01787535473704338 	 test_loss: 0.020269108936190605 	 test_min_loss: 0.020269108936190605 	 difference: 0.0023937541991472244 	 comp_acc:0 	 relative_acc:0
0960 	 train_loss:0.017842182889580727 	 test_loss: 0.020241817459464073 	 test_min_loss: 0.020241817459464073 	 difference: 0.0023996345698833466 	 comp_acc:0 	 relative_acc:0
0970 	 train_loss:0.017809372395277023 	 test_loss: 0.020213181152939796 	 test_min_loss: 0.020213181152939796 	 difference: 0.002403808757662773 	 comp_acc:0 	 relative_acc:0
0980 	 train_loss:0.017777198925614357 	 test_loss: 0.0201865267008543 	 test_min_loss: 0.0201865267008543 	 difference: 0.0024093277752399445 	 comp_acc:0 	 relative_acc:0
0990 	 train_loss:0.01774461753666401 	 test_loss: 0.020157694816589355 	 test_min_loss: 0.020157694816589355 	 difference: 0.0024130772799253464 	 comp_acc:0 	 relative_acc:0
1000 	 train_loss:0.017712755128741264 	 test_loss: 0.020131509751081467 	 test_min_loss: 0.020131509751081467 	 difference: 0.0024187546223402023 	 comp_acc:0 	 relative_acc:0
